u,v,key,geometry,address
298221680,1931344922,0,POINT (-118.2906052737158 33.748931966843635),"654 W Elberon Ave, San Pedro, CA 90731, USA"
122623196,122819932,0,POINT (-118.3071916244818 33.73247904045904),"1366 W 13th St, San Pedro, CA 90732, USA"
123763751,122693938,0,POINT (-118.50403533012181 34.289628248401165),"17053 Mindora Ct, Granada Hills, CA 91344, USA"
4726456954,122784052,0,POINT (-118.06502087503895 34.542724152710036),"3636 Ponderosa Way, Palmdale, CA 93550, USA"
123257162,123257159,0,POINT (-118.51592473996995 34.27092641376895),"17508 Ludlow St, Granada Hills, CA 91344, USA"
370386634,370386179,0,POINT (-118.46642989917375 34.18946956290023),"6525 N Sepulveda Blvd, Van Nuys, CA 91406, USA"
122593405,123382229,0,POINT (-118.09311124775975 33.90729395332569),"13627 Longworth Ave, Norwalk, CA 90650, USA"
408485712,1525398879,0,POINT (-118.36300794186137 34.13322903583341),"3743 Fredonia Dr, Los Angeles, CA 90068, USA"
123041230,123509383,0,POINT (-118.73718089273797 34.148200635247264),"5402 Chesebro Rd, Agoura Hills, CA 91301, USA"
3749699449,122812666,0,POINT (-117.86926576935714 34.138516431108876),"332 W Meda Ave, Glendora, CA 91741, USA"
